# Wing Angle Data Export
# Generated on: 2025-10-08 23:11:16
# Original time range: [11.800, 12.500] seconds
# Time normalized to start from 0
# Raw forewing points: 32
# Raw hindwing points: 30
# Interpolated forewing points: 320
# Interpolated hindwing points: 300
# Columns:
# - time: Time in seconds (normalized to start from 0)
# - forewing_angle: Forewing angle in degrees
# - hindwing_angle: Hindwing angle in degrees
# - data_type: 'raw' for original data points, 'interpolated' for smoothed curve
time,forewing_angle,hindwing_angle,data_type
0.2434013730407525,-23.460247292569846,,interpolated
0.24345779933110379,,-4.181930174694412,interpolated
0.24525608463949844,-25.097292663602975,,interpolated
0.24552013043478205,,-3.9273203952059412,interpolated
0.2471107962382444,-26.627793330343103,,interpolated
0.2475824615384603,,-3.6668430167308124,interpolated
0.24896550783699034,-28.052207185113573,,interpolated
0.24964479264214035,,-3.401146191230918,interpolated
0.2508202194357363,-29.374038678783066,,interpolated
0.2517071237458186,,-3.1308399942449965,interpolated
0.25267493103448224,-30.599142676674912,,interpolated
0.25376945484949864,,-2.8564862335892998,interpolated
0.2545296426332282,-31.734993267117865,,interpolated
0.2558317859531769,,-2.5786121462759244,interpolated
0.25638435423197414,-32.78807125694945,,interpolated
0.25789411705685517,,-2.29774476160799,interpolated
0.2582390658307201,-33.762786067174176,,interpolated
0.2599564481605352,,-2.014415406703788,interpolated
0.26009377742946604,-34.661807373869614,,interpolated
0.261948489028212,-35.48636363017158,,interpolated
0.26201877926421346,,-1.7291610235031003,interpolated
0.26380320062695795,-36.23760262479698,,interpolated
0.2640811103678917,,-1.4425229050812223,interpolated
0.2656579122257039,-36.91868152598658,,interpolated
0.26614344147157176,,-1.1550427743825287,interpolated
0.266197,-37.923164562730506,,raw
0.2675126238244516,-37.53438509165334,,interpolated
0.26820577257525,,-0.8672623543513985,interpolated
0.2693673354231976,-38.09050380616113,,interpolated
0.27026810367893006,,-0.5797233679322025,interpolated
0.2712220470219435,-38.59319050227171,,interpolated
0.2723304347826083,,-0.2929675380693191,interpolated
0.2730767586206895,-39.047408818755656,,interpolated
0.2743927658862866,,-0.007519000244575372,interpolated
0.2745109999999986,-38.527620959302595,,raw
